Reference, Value, Footprint, Datasheet
U2,OSRB38C9AA,kerikun11:PL-IRMxxxx_Angle,
R12,220,Resistors_SMD:R_0603,
C2,4.7uF,Capacitors_SMD:C_0603,
C3,0.1uF,Capacitors_SMD:C_0603,
C5,100uF,Capacitors_SMD:C_1206,
C4,0.1uF,Capacitors_SMD:C_0603,
LED2,IR_LED,LEDs:LED-3MM,
R7,4.7,Resistors_SMD:R_2010,
R8,4.7,Resistors_SMD:R_2010,
Q1,IRLML6344,TO_SOT_Packages_SMD:SOT-23,
LED4,IR_LED,LEDs:LED-3MM,
LED5,IR_LED,LEDs:LED-3MM,
LED3,IR_LED,LEDs:LED-3MM,
F1,MICROSMD035F,SMD_Packages:SMD-1210_Pol,
R6,100,Resistors_SMD:R_0603,
R4,220,Resistors_SMD:R_0603,
R5,100,Resistors_SMD:R_0603,
U1,ESP-WROOM-02-2,kerikun11:ESP-WROOM-02,
SW1,BUTTON,kerikun11:SW_PUSH,
R11,10k,Resistors_SMD:R_0603,
C1,0.1uF,Capacitors_SMD:C_0603,
R13,10k,Resistors_SMD:R_0603,
R2,10k,Resistors_SMD:R_0603,
R3,10k,Resistors_SMD:R_0603,
R1,10k,Resistors_SMD:R_0603,
LED1,OSTBABS4C2B,kerikun11:OSTBABS4C2B,
U3,NJU7223,TO_SOT_Packages_SMD:TO-252-2Lead,
R9,4.7k,Resistors_SMD:R_0603,
R10,2k,Resistors_SMD:R_0603,
P1,I2C,Connectors_JST:JST_SH_BM04B-SRSS-TB_04x1.00mm_Straight,
P2,ADC,Connectors_JST:JST_SH_BM03B-SRSS-TB_03x1.00mm_Straight,
P3,GPIO,Connectors_JST:JST_SH_BM03B-SRSS-TB_03x1.00mm_Straight,
P4,USB_Power,kerikun11:USB_Micro_B_Power,
U4,AE-FT234X,Connectors_JST:JST_GH_BM04B-GHS-TBT_04x1.25mm_Straight,
